Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Swim Cadence,Max Swim Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Sends,Total Ascent,Falls,Total Rest,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swim,2026-06-03 07:44:39,false,"Pool Swim","575","256","00:54:51","114","157","2.1","--","--","1:51","0:38","--","--","--","--","--","--","--","--","0.0","--","--","277","40","26","--","--","--","--","--","--","--","--","--","--","--","No","00:00:03.7","34","--","--","--","--","--","--","--","--","00:10:40","00:58:03","--","--"
Pool Swim,2026-06-02 07:45:14,false,"Pool Swim","800","269","00:40:47","133","173","2.7","--","--","1:56","1:01","--","--","--","--","--","--","--","--","0.0","--","--","406","42","26","--","--","--","--","--","--","--","--","--","--","--","No","00:00:00","67","--","--","--","--","--","--","--","--","00:15:25","00:51:35","--","--"
Tennis,2026-05-30 16:56:35,false,"Amherst Tennis","2.79","608","01:43:11","136","169","3.0","14","240","1.6","12.1","--","--","1.97","--","--","--","--","--","0.0","--","--","--","--","--","3,312","--","--","--","--","--","--","--","--","--","'-9","No","01:43:11","1","--","--","--","--","--","--","--","--","00:40:05","01:43:11","--","--"
Pool Swim,2026-05-29 07:45:42,false,"Pool Swim","800","223","00:37:20","124","163","2.2","--","--","1:06","0:32","--","--","--","--","--","--","--","--","0.0","--","--","203","46","23","--","--","--","--","--","--","--","--","--","--","--","No","00:00:00","34","--","--","--","--","--","--","--","--","00:08:46.6","00:49:44","--","--"
Tennis,2026-05-28 17:57:01,false,"Amherst Tennis","2.65","436","01:01:28","142","167","3.1","23","231","2.6","17.9","--","--","1.85","--","--","--","--","--","0.0","--","--","--","--","--","3,410","--","--","--","--","--","--","--","--","--","'-9","No","01:01:28","1","--","--","--","--","--","--","--","--","00:34:09","01:01:28","--","--"
Pool Swim,2026-05-28 07:43:47,false,"Pool Swim","800","223","00:26:35","143","169","2.9","--","--","0:58","0:52","--","--","--","--","--","--","--","--","0.0","--","--","188","41","24","--","--","--","--","--","--","--","--","--","--","--","No","00:00:01.0","39","--","--","--","--","--","--","--","--","00:07:40.7","00:27:34","--","--"
Tennis,2026-05-26 17:40:23,false,"Amherst Tennis","1.76","384","00:57:24","137","161","2.9","18","240","1.8","11.9","--","--","1.68","--","--","--","--","--","0.0","--","--","--","--","--","2,288","--","--","--","--","--","--","--","--","--","'-9","No","00:57:24","1","--","--","--","--","--","--","--","--","00:24:40","01:18:44","--","--"
Tennis,2026-05-25 13:42:53,false,"Amherst Tennis","3.14","624","01:11:39","159","182","4.8","27","237","2.6","15.8","--","--","1.65","--","--","--","--","--","0.0","--","--","--","--","--","3,448","--","--","--","--","--","--","--","--","--","'-21","No","01:11:39","1","--","--","--","--","--","--","--","--","00:44:08","02:01:03","--","--"
HIIT,2026-05-24 15:23:22,false,"HIIT","0.00","155","00:20:58","134","158","2.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","38","19","1","--","--","--","--","--","--","--","'-5","No","00:20:58","1","--","--","--","--","--","--","--","--","00:20:58","00:20:58","--","--"
Tennis,2026-05-22 17:40:07,false,"Amherst Tennis","2.40","588","01:14:36","150","177","3.7","15","182","1.9","14.5","--","--","2.18","--","--","--","--","--","0.0","--","--","--","--","--","2,762","--","--","--","--","--","--","--","--","--","'-13","No","01:14:36","1","--","--","--","--","--","--","--","--","00:32:57","01:14:36","--","--"
Running,2026-05-21 09:46:58,false,"Amherst Running","2.54","155","00:15:14","164","183","3.1","154","162","5:59","4:59","21","16","1.08","9.4","10.2","288","5:55","269","0.0","264","343","--","--","--","2,330","--","--","--","--","--","--","--","--","--","'-3","No","00:05:20.9","2","--","--","--","--","--","--","--","--","00:15:07","00:15:14","46","60"
Running,2026-05-18 08:31:49,false,"Amherst Running","4.36","281","00:26:32","171","184","3.9","154","167","6:06","4:54","29","29","1.06","9.4","10.0","287","6:04","255","0.0","254","371","--","--","--","4,102","--","--","--","--","--","--","--","--","--","'-9","No","00:06:24.6","3","--","--","--","--","--","--","--","--","00:26:14","00:30:13","46","66"
Running,2026-05-15 01:40:47,false,"Running","0.21","10","00:01:19.4","129","143","0.7","135","176","6:15","3:38","--","2","1.19","8.9","10.4","273","--","228","0.0","236","428","--","--","--","190","--","--","--","--","--","--","--","--","--","--","No","00:01:19.4","1","--","--","--","--","--","--","--","--","00:01:07","00:01:31.1","118","121"
Yoga,2026-04-30 17:44:01,false,"Yoga","--","310","01:04:46","119","153","2.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","2","--","--","--","--","--","--","--","'-5","No","01:04:46","1","16","8","25","38","62","100","79","100","01:04:46","01:04:46","--","--"
Running,2026-04-28 07:51:52,false,"Amherst Running","3.92","251","00:23:02","174","191","3.9","156","181","5:52","3:28","37","34","1.08","9.3","10.0","282","5:44","269","0.0","265","419","--","--","--","3,608","--","--","--","--","--","--","--","--","--","'-9","No","00:03:17.5","3","--","--","--","--","--","--","--","--","00:22:53","00:24:00","45","74"
Yoga,2026-04-22 17:49:57,false,"Yoga","--","274","00:53:26","121","149","2.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","1","--","--","--","--","--","--","--","'-5","No","00:53:26","1","16","7","25","51","48","99","88","100","00:53:26","00:53:26","--","--"
Hiking,2026-04-20 18:45:10,false,"Granby Hiking","4.12","394","01:20:46","120","175","3.2","63","240","19:38","5:45","243","244","0.81","--","--","--","--","--","0.0","--","--","--","--","--","5,890","--","--","--","--","--","--","--","--","--","'-17","No","01:20:46","1","--","--","--","--","--","--","--","--","00:51:43","01:20:46","115","286"
